i,group,x1,x2,omega1,omega2,A1,A2,res1,res2,lambda_min,lambda_max,anisotropy,detG,logdetG,lambda_radial,lambda_tangent,ratio_tangent_radial
233,0,0.42690178946454155,0.1645099634622148,1.0062579773375426,0.44276855135813314,1.0123233095242674,0.4447050128649143,-0.006065332186724781,-0.001936461506781173,2.086981215076063,2.461476308967796,1.1794434426081233,5.1370548181705535,1.6364799226702713,2.090178805294869,2.4582787187489905,1.1761092938659823
236,0,0.4269502494211035,0.164539898059796,1.0062579773375426,0.44276855135813314,1.01243897978878,0.44478694198889807,-0.006181002451237427,-0.0020183906307649213,2.0870621591916807,2.4616965245364737,1.1795032139770523,5.1377136637737495,1.6366081680132698,2.090254523887381,2.458504159840773,1.1761745432171269
237,0,0.4269498402057321,0.16451460227176956,1.0062579773375426,0.44276855135813314,1.012440806479354,0.44471315587795635,-0.006182829141811341,-0.001944604519823201,2.087019650278748,2.461688382283481,1.1795233370010154,5.137592026688527,1.636584492399348,2.0902183378745818,2.4584896946876467,1.1761879848339376
247,0,0.4266641208191352,0.1644753307958301,1.0062579773375426,0.44276855135813314,1.0117434422246976,0.4446305927833636,-0.005485464887154956,-0.001862041425230443,2.086770971437118,2.4604242086447377,1.1790580961313124,5.1343418160209815,1.6359516591226184,2.0899660119037513,2.4572291681781047,1.1757268559309313
249,0,0.4274227310974366,0.16454509837144132,1.0062579773375426,0.44276855135813314,1.013598827953349,0.4447490092603392,-0.00734085061580636,-0.0019804579022060786,2.0873715302765565,2.463771377742019,1.180322401645285,5.1428062310089375,1.637598889825756,2.0905846706602804,2.4605582373582946,1.1769713381573603
250,0,0.42650205241953204,0.16446198698761166,1.0062579773375426,0.44276855135813314,1.0113468695772725,0.44460981418362894,-0.005088892239729859,-0.001841262825495793,2.0866444591098476,2.459709247892973,1.1787869453056095,5.132538673137123,1.6356004048337813,2.0898351432602658,2.456518563742556,1.1754604527849228
252,0,0.4267825742454697,0.16450188638675514,1.0062579773375426,0.44276855135813314,1.0120314104817918,0.44469482294854473,-0.005773433144249163,-0.001926271590411588,2.0868915029671773,2.4609509828635168,1.1792424183837518,5.135737695356596,1.6362234933070887,2.0900854976931686,2.4577569881375245,1.1759121772052654
264,0,0.42659801397204045,0.16448255846547621,1.0062579773375426,0.44276855135813314,1.0115802700270973,0.4446591136477309,-0.005322292689554642,-0.0018905622895977747,2.086740833627434,2.460135869911204,1.1789369481186067,5.133665976015258,1.6358200191744634,2.0899309335664813,2.4569457699721564,1.1756109881484753
267,0,0.42695768161742564,0.1645249660939726,1.0062579773375426,0.44276855135813314,1.0124589052550945,0.4447425242992257,-0.0062009279175518905,-0.0019739729410925833,2.0870419621179535,2.4617253964272754,1.1795284623453806,5.137724201555177,1.6366102190755343,2.0902384191186214,2.4585289394266083,1.176195460259161
268,0,0.4268037927225189,0.16450591434797102,1.0062579773375426,0.44276855135813314,1.012083074683266,0.44470419871022704,-0.005825097345723451,-0.0019356473520938944,2.086911828781332,2.461045143914049,1.1792760527651016,5.135984221999085,1.6362714943422647,2.0901058159912833,2.457851156704098,1.1759458003988197
279,0,0.42666458387117634,0.16448790423947812,1.0062579773375426,0.44276855135813314,1.0117431763947093,0.444667249800578,-0.005485199057166712,-0.001898698442444835,2.0867924872219343,2.4604294756366527,1.1790484634685103,5.13440574509797,1.6359641103152511,2.0899844040839595,2.457237558774627,1.1757205240254578
281,0,0.4268781861657001,0.16452489973527626,1.0062579773375426,0.44276855135813314,1.0122636673097476,0.44475126203289633,-0.006005689972204964,-0.0019827106747631884,2.0869911519772306,2.4613764783172605,1.1793899921354887,5.136870931932998,1.6364441259861122,2.090183888323093,2.458183741971398,1.176060994300144
